transaction_id,transaction_date,transaction_type,community,project,building,property_type,rooms_bucket,area_sqft,price_aed,price_per_sqft,is_offplan
BAY-2025-02-21-86834,2025-02-21,sale,Al Furjan,Al Furjan West,Murooj Al Furjan West,villa,3BR+,2573.33,4800000.0,1865.29,True
BAY-2025-02-21-16403,2025-02-21,sale,Dubai Land Residence Complex,Maya 2,,apartment,studio,535.61,395000.0,737.48,True
BAY-2025-02-21-2032,2025-02-21,sale,Motor City,Uptown Motor City,Norton Court,apartment,1BR,1051.96,915000.0,869.8,True
BAY-2025-02-21-973,2025-02-21,sale,Business Bay,DAMAC Maison Bay's Edge,,apartment,2BR,1385.31,3100000.0,2237.77,True
BAY-2025-02-21-632,2025-02-21,sale,Dubai Marina,Manchester Tower,,apartment,1BR,695.03,855000.0,1230.16,True
BAY-2025-02-21-87981,2025-02-21,sale,Dubai South,Emaar South,Greenville,villa,3BR+,2417.79,3367888.0,1392.96,True
BAY-2025-02-21-582,2025-02-21,sale,International City,International City Phase 2 (Warsan 4),,villa,,,55000000.0,,True
BAY-2025-02-21-83341,2025-02-21,sale,DAMAC Lagoons,Mykonos,,townhouse,3BR+,2272.91,2750000.0,1209.9,True
BAY-2025-02-21-80398,2025-02-21,sale,Jumeirah Village Circle (JVC),JVC District 14,Al Maali Villas,villa,3BR+,2813.15,3280000.0,1165.95,True
BAY-2025-02-21-5061,2025-02-21,sale,Dubai Production City (IMPZ),Lakeside,Lakeside Tower C,apartment,studio,369.31,355000.0,961.25,True
BAY-2025-02-21-88607,2025-02-21,sale,DAMAC Islands,Maldives 2,,villa,3BR+,2194.22,2407000.0,1096.97,True
BAY-2025-02-21-86981,2025-02-21,sale,Motor City,Sobha Orbis,Sobha Orbis Tower A,apartment,1BR,536.26,997444.0,1860.0,True
BAY-2025-02-21-86987,2025-02-21,sale,Motor City,Sobha Orbis,Sobha Orbis Tower G,apartment,1BR,627.43,1188980.0,1895.0,True
BAY-2025-02-21-197,2025-02-21,sale,Al Badaa,,,land,,,4800000.0,,True
BAY-2025-02-21-86985,2025-02-21,sale,Motor City,Sobha Orbis,Sobha Orbis Tower E,apartment,2BR,988.23,2001186.0,2025.02,True
BAY-2025-02-21-86557,2025-02-21,sale,Sobha Hartland 2,Riverside Crescent,310 Riverside Crescent,apartment,1BR,885.44,2085211.0,2355.0,True
BAY-2025-02-21-964,2025-02-21,sale,Dubai Sports City,Olympic Park,Olympic Park 4,apartment,2BR,1588.0,1120000.0,705.29,True
BAY-2025-02-21-87951,2025-02-21,sale,Business Bay,Binghatti Skyrise,Binghatti Skyrise Tower C,apartment,1BR,966.49,2250000.0,2328.01,True
BAY-2025-02-21-4976,2025-02-21,sale,Arjan,Jewelz by Danube,,apartment,studio,421.73,575000.0,1363.43,True
